Type,Subtype,Country,Name,Alcohol_Content,Price,Sweetness
SPIRITS,AMBER,UNITED STATES OF AMERICA,SAILOR JERRY - SPICED NAVY,46,15.99,NA
SPIRITS,CANADIAN RYE WHISKY,CANADA,CROWN ROYAL,40,15.99,NA
SPIRITS,ORANGE,CANADA,ORANGE & BRANDY - MONSARD,35,13.29,NA
SPIRITS,CACAO / CHOCOLATE,CANADA,CRIOLLO - CHOCOLATE RASPBERRY TRUFFLE,17,19.99,NA
SPIRITS,REGULAR VODKA,UNITED STATES OF AMERICA,NEW AMSTERDAM VODKA,40,12.24,NA
SPIRITS,READY TO SERVE COCKTAILS,CANADA,X FOUR - CHOCOLATE INFUSED VODKA COCKTAIL,12.5,16.95,NA
SPIRITS,CANADIAN RYE WHISKY,CANADA,SPICEBOX - PUMPKIN SPICED,35,14.99,NA
SPIRITS,COFFEE,UNITED STATES OF AMERICA,KAHLUA - PUMPKIN SPICE LIMITED EDITION,20,16.49,2
SPIRITS,LEMON,ITALY,LIMONCINO - BOTTEGA,30,11.99,NA
SPIRITS,AMERICAN WHISKY,UNITED STATES OF AMERICA,JACK DANIEL'S - OLD #7 TENNESSEE SOUR MASH,40,16.99,NA
SPIRITS,READY TO SERVE COCKTAILS,UNITED STATES OF AMERICA,SKINNYGIRL - WHITE CRANBERRY COSMO,9.95,14.99,3
SPIRITS,HERBAL,GERMANY,JAGERMEISTER,35,18.99,NA
SPIRITS,READY TO SERVE COCKTAILS,CANADA,LULU B COCKTAILS - CHOCOLATE MARTINI,15,14.99,NA
SPIRITS,CREAM,IRELAND,BAILEYS - ORIGINAL IRISH CREAM,17,17.49,NA
SPIRITS,COGNAC,FRANCE,A DE FUSSIGNY - X.O.GIFT TUBES,40,18.99,NA
SPIRITS,AMBER,UNITED STATES OF AMERICA,BACARDI - OAKHEART SPICED,35,13.99,NA
SPIRITS,REGULAR VODKA,RUSSIA (USSR),RUSSIAN STANDARD,40,13.99,0
SPIRITS,SPICE,CANADA,FIREBALL,33,12.99,NA
SPIRITS,MINT,CANADA,CREME DE MENTHE GREEN - MCGUINNESS,15,19.99,NA
SPIRITS,CACAO / CHOCOLATE,CANADA,MCGUINNESS - CREME DE CACAO BROWN,15,19.99,0
SPIRITS,ORANGE,CANADA,TRIPLE SEC - MEAGHERS,35,13.49,NA
SPIRITS,REGULAR VODKA,UNITED STATES OF AMERICA,SMIRNOFF - RASPBERRY,35,13.49,NA
SPIRITS,REGULAR VODKA,CANADA,SMIRNOFF - RASPBERRY,35,13.49,NA
SPIRITS,READY TO SERVE COCKTAILS,UNITED STATES OF AMERICA,BACARDI - MOJITO CLASSIC COCKTAIL,15,16.95,NA
SPIRITS,ORANGE,FRANCE,COINTREAU,40,18.99,NA
SPIRITS,CANADIAN RYE WHISKY,CANADA,ROYAL RESERVE,40,11.87,NA
SPIRITS,REGULAR VODKA,FINLAND,FINLANDIA,40,12.99,NA
SPIRITS,AMBER,CANADA,BACARDI - GOLD,40,11.99,NA
SPIRITS,PEACH,CANADA,PEACH - DR. MCGILLICUDDY'S,21,19.99,NA
SPIRITS,READY TO SERVE COCKTAILS,UNITED STATES OF AMERICA,SKINNYGIRL - MARGARITA,12.7,15.99,NA
SPIRITS,LEMON,UNITED STATES OF AMERICA,LEMON DROP SCHNAPPS - DR. MCGILLICUDDY'S,21,12.96,NA
SPIRITS,RASPBERRY,UNITED STATES OF AMERICA,SOUR PUSS - RASPBERRY,15,11.45,NA
SPIRITS,DARK,CANADA,LAMB'S - NAVY,40,12.49,NA
SPIRITS,DRY GIN,UNITED KINGDOM,BOMBAY SAPPHIRE - LONDON DRY,40,14.49,NA
SPIRITS,READY TO SERVE COCKTAILS,UNITED STATES OF AMERICA,EVAN WILLIAMS - ORGINAL SOUTHERN EGG NOG,15,19.95,NA
SPIRITS,REGULAR VODKA,UNITED STATES OF AMERICA,PHILLIPS PRAIRIE CUCUMBER ORGANIC,35,18.95,0
SPIRITS,SPIRIT - GIFT PACKS,FRANCE,PINNACLE - CANDY CANE GIFT PACK,35,13.99,10
SPIRITS,SCOTCH - BLEND,UNITED KINGDOM,GRANTS - FAMILY RESERVE,40,13.49,NA
SPIRITS,SCOTCH - BLEND,UNITED KINGDOM,JOHNNIE WALKER - RED LABEL,40,15.99,NA
SPIRITS,CANADIAN RYE WHISKY,CANADA,ALBERTA PREMIUM - CANADIAN RYE,40,11.87,NA
SPIRITS,DRY GIN,CANADA,GORDONS - LONDON DRY,40,13.49,NA
SPIRITS,WHISKY,UNITED STATES OF AMERICA,JACK DANIEL'S - TENNESSEE HONEY,35,16.99,NA
SPIRITS,ASIAN SPIRITS,CHINA,ER GUO TOU - SHAO JIU,56,16.99,NA
SPIRITS,AMBER,JAMAICA,APPLETON ESTATE - V/X,40,13.95,NA
SPIRITS,SCOTCH - BLEND,UNITED KINGDOM,BALLANTINE'S - FINEST,40,13.49,NA
SPIRITS,CACAO / CHOCOLATE,CANADA,CRIOLLO - CHOCOLATE SEA SALTED CARAMEL,17,19.99,NA
SPIRITS,COFFEE,MEXICO,COPA DE ORO,21,19.99,NA
SPIRITS,CANADIAN RYE WHISKY,CANADA,HIRAM WALKER - SPECIAL OLD,40,11.87,NA
SPIRITS,TEQUILA,MEXICO,KAH - BLANCO,40,11.99,NA
SPIRITS,BUTTERSCOTCH,UNITED STATES OF AMERICA,BUTTER RIPPLE SCHNAPPS - PHILLIPS,15,11.45,0
SPIRITS,ASIAN SPIRITS,VIETNAM,MOONLIGHT - PREMIUM SHOCHU,25,19.99,NA
SPIRITS,DARK,TRINIDAD AND TOBAGO,THE KRAKEN - BLACK SPICED,47,17.99,NA
SPIRITS,REGULAR VODKA,LATVIA,STOLICHNAYA,40,13.99,0
SPIRITS,FLAVOURED,UNITED STATES OF AMERICA,PLATTE VALLEY - MOONSHINE,40,19.95,NA
